Registration Area Code,Registration Area Name,Registration Centre,Registration Centre Code,Polling Station Code,Polling Station Name,Registered Voters
01451,Prisons,60,Kitale Women,049292145106001,Kitale Women,16
01451,Prisons,61,Kitale Main Prison (B),049292145106101,Kitale Main Prison (B),176
01451,Prisons,62,Eldoret Women,049292145106201,Eldoret Women,5
01451,Prisons,63,Eldoret Main,049292145106301,Eldoret Main,124
01451,Prisons,64,Ngeria Farm,049292145106401,Ngeria Farm,50
01451,Prisons,65,Tambach Prison,049292145106501,Tambach Prison,20
01451,Prisons,66,Kapsabet Prison,049292145106601,Kapsabet Prison,105
01451,Prisons,67,Kabarnet Prison,049292145106701,Kabarnet Prison,29
01451,Prisons,68,Eldama Ravine Prison,049292145106801,Eldama Ravine Prison,25
01451,Prisons,69,Rumuruti,049292145106901,Rumuruti,36
01451,Prisons,70,T/Fall Prison,049292145107001,T/Fall Prison,76
01451,Prisons,71,T/Fall Women,049292145107101,T/Fall Women,9
01451,Prisons,72,Nanyuki Prison,049292145107201,Nanyuki Prison,140
01451,Prisons,73,Naivasha Main,049292145107301,Naivasha Main,390
01451,Prisons,74,Naivasha Medium,049292145107401,Naivasha Medium,75
01451,Prisons,75,Naivasha Women,049292145107501,Naivasha Women,13
01451,Prisons,76,Nakuru Main,049292145107601,Nakuru Main,171
01451,Prisons,77,Nakuru Women,049292145107701,Nakuru Women,10
01451,Prisons,78,Narok Prison,049292145107801,Narok Prison,56
01451,Prisons,79,Kajiado Prison,049292145107901,Kajiado Prison,43
01451,Prisons,80,Athir River Prison,049292145108001,Athir River Prison,70
01451,Prisons,82,Kericho Main,049292145108201,Kericho Main,46
01451,Prisons,84,Kericho Annex,049292145108401,Kericho Annex,13
01451,Prisons,85,Sotik Prison,049292145108501,Sotik Prison,17
01451,Prisons,86,Bomet Prison,049292145108601,Bomet Prison,21
01451,Prisons,87,Kakamega Main,049292145108701,Kakamega Main,135
01451,Prisons,88,Kakamega Women,049292145108801,Kakamega Women,8
01451,Prisons,89,Shikusa Farm,049292145108901,Shikusa Farm,15
01451,Prisons,91,Vihiga Prison,049292145109101,Vihiga Prison,20
01451,Prisons,92,Bungoma Prison (B),049292145109201,Bungoma Prison (B),14
01451,Prisons,93,Busia Women Wing,049292145109301,Busia Women Wing,1
01451,Prisons,94,Busia Prison,049292145109401,Busia Prison,61
01451,Prisons,95,Siaya Prison (B),049292145109501,Siaya Prison (B),7
01451,Prisons,96,Kisumu Main,049292145109601,Kisumu Main,494
01451,Prisons,97,Kisumu Women,049292145109701,Kisumu Women,22
01451,Prisons,98,Kisumu Medium,049292145109801,Kisumu Medium,132
01451,Prisons,99,Kibos Main Prison (B),049292145109901,Kibos Main Prison (B),79
01451,Prisons,100,Kibos Medium Prison (B),049292145110001,Kibos Medium Prison (B),15
01451,Prisons,102,Homa Bay Prison,049292145110201,Homa Bay Prison,40
01451,Prisons,103,Migori Women,049292145110301,Migori Women,6
01451,Prisons,104,Migori Prison (B),049292145110401,Migori Prison (B),24
01451,Prisons,105,Kehancha Prison/Kendege,049292145110501,Kehancha Prison/Kendege,4
01451,Prisons,106,Kisii Main,049292145110601,Kisii Main,92
01451,Prisons,107,Kisii Women,049292145110701,Kisii Women,9
01451,Prisons,109,Nairobi West,049292145110901,Nairobi West,91
01451,Prisons,110,Langata Women Prison,049292145111001,Langata Women Prison,130
01451,Prisons,112,Kamiti Medium Prison,049292145111201,Kamiti Medium Prison,215
01451,Prisons,113,Kamiti Main Prison,049292145111301,Kamiti Main Prison,362
01451,Prisons,113,Kamiti Main Prison,049292145111302,Kamiti Main Prison,362
01451,Prisons,116,Nairobi Remand/Allocation,049292145111601,Nairobi Remand/Allocation,81
01451,Prisons,118,Kilgoris Prison,049292145111801,Kilgoris Prison,12
01451,Prisons,119,Loitokitok Gk Prison,049292145111901,Loitokitok Gk Prison,3
01451,Prisons,121,Lodwar Gk Prison,049292145112101,Lodwar Gk Prison,26
